ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1591858800,11/06/2020,99.425003,
1591945200,12/06/2020,98.292,
1592204400,15/06/2020,98.793999,
1592290800,16/06/2020,98.933998,
1592377200,17/06/2020,99.463997,
1592463600,18/06/2020,99.143997,
1592550000,19/06/2020,98.790001,
1592809200,22/06/2020,98.941002,
1592895600,23/06/2020,98.922997,
1592982000,24/06/2020,99.042,
1593068400,25/06/2020,98.819,
1593154800,26/06/2020,98.877998,
1593414000,29/06/2020,98.728996,
1593500400,30/06/2020,98.733002,
1593586800,01/07/2020,98.846001,
1593673200,02/07/2020,99.431999,
1593759600,03/07/2020,99.471001,
1594018800,06/07/2020,99.737999,
1594105200,07/07/2020,99.556,
1594191600,08/07/2020,99.472,
1594278000,09/07/2020,99.494003,
1594364400,10/07/2020,99.373001,
1594623600,13/07/2020,99.481003,
1594710000,14/07/2020,99.469002,
1594796400,15/07/2020,99.382004,
1594882800,16/07/2020,99.684998,
1594969200,17/07/2020,99.906998,
1595228400,20/07/2020,100.085,
1595314800,21/07/2020,100.386,
1595401200,22/07/2020,100.788,
1595487600,23/07/2020,101.011,
1595574000,24/07/2020,100.31,
1595833200,27/07/2020,100.36,
1595919600,28/07/2020,100.512,
1596006000,29/07/2020,100.745,
1596092400,30/07/2020,101.008,
1596178800,31/07/2020,101.12,
1596438000,03/08/2020,101.469,
1596524400,04/08/2020,101.567,
1596610800,05/08/2020,101.592,
1596697200,06/08/2020,101.882,
1596783600,07/08/2020,101.847,
1597042800,10/08/2020,101.98,
1597129200,11/08/2020,102.1,
1597215600,12/08/2020,101.597,
1597302000,13/08/2020,101.567,
1597388400,14/08/2020,101.123,
1597647600,17/08/2020,101.191,
1597734000,18/08/2020,101.184,
1597820400,19/08/2020,101.035,
1597906800,20/08/2020,100.611,
1597993200,21/08/2020,101.134,
1598252400,24/08/2020,101.146,
1598338800,25/08/2020,101.199,
1598425200,26/08/2020,101.073,
1598511600,27/08/2020,100.951,
1598598000,28/08/2020,101.089,
1598857200,31/08/2020,101.242,
1598943600,01/09/2020,101.455,
1599030000,02/09/2020,102.067,
1599116400,03/09/2020,102.317,
1599202800,04/09/2020,102.153,
1599462000,07/09/2020,102.152,
1599548400,08/09/2020,102.104,
1599634800,09/09/2020,101.926,
1599721200,10/09/2020,102.453,
1599807600,11/09/2020,102.449,
1600066800,14/09/2020,102.406,
1600153200,15/09/2020,102.502,
1600239600,16/09/2020,102.543,
1600326000,17/09/2020,102.455,
1600412400,18/09/2020,102.365,
1600671600,21/09/2020,101.85,
1600758000,22/09/2020,101.651,
1600844400,23/09/2020,101.356,
1600930800,24/09/2020,100.484,
1601017200,25/09/2020,100.74,
1601276400,28/09/2020,101.007,
1601362800,29/09/2020,100.934,
1601449200,30/09/2020,100.738,
1601535600,01/10/2020,101.066,
1601622000,02/10/2020,101.028,
1601881200,05/10/2020,101.195,
1601967600,06/10/2020,101.299,
1602054000,07/10/2020,101.459,
1602140400,08/10/2020,101.797,
1602226800,09/10/2020,101.923,
1602486000,12/10/2020,102.13,
1602572400,13/10/2020,102.125,
1602658800,14/10/2020,102.135,
1602745200,15/10/2020,102.13,
1602831600,16/10/2020,102.004,
1603090800,19/10/2020,102.1,
1603177200,20/10/2020,102.001,
1603263600,21/10/2020,102.056,
1603350000,22/10/2020,102.008,
1603436400,23/10/2020,101.759,
1603699200,26/10/2020,101.686,
1603785600,27/10/2020,101.714,
1603872000,28/10/2020,101.76,
1603958400,29/10/2020,101.52,
1604044800,30/10/2020,101.395,
1604304000,02/11/2020,101.414,
1604390400,03/11/2020,101.493,
1604476800,04/11/2020,101.886,
1604649600,06/11/2020,102.672,
1604908800,09/11/2020,102.615,
1604995200,10/11/2020,102.782,
1605081600,11/11/2020,102.859,
1605168000,12/11/2020,102.862,
1605254400,13/11/2020,102.732,
1605513600,16/11/2020,102.795,
1605600000,17/11/2020,102.762,
1605686400,18/11/2020,102.894,
1605772800,19/11/2020,102.982,
1605859200,20/11/2020,103.065,
1606118400,23/11/2020,103.127,
1606204800,24/11/2020,103.178,
1606291200,25/11/2020,103.3,
1606377600,26/11/2020,103.354,
1606464000,27/11/2020,103.335,
1606723200,30/11/2020,103.334,
1606809600,01/12/2020,103.458,
1606896000,02/12/2020,103.547,
1606982400,03/12/2020,103.441,
1607068800,04/12/2020,103.568,
1607328000,07/12/2020,103.476,
1607414400,08/12/2020,103.341,
1607500800,09/12/2020,103.416,
1607673600,11/12/2020,103.485,
1607932800,14/12/2020,103.598,
1608019200,15/12/2020,103.708,
1608105600,16/12/2020,103.855,
1608192000,17/12/2020,104.107,
1608278400,18/12/2020,104.068,
1608537600,21/12/2020,104.058,
1608624000,22/12/2020,103.854,
1608710400,23/12/2020,103.968,
1608796800,24/12/2020,103.99,
1609142400,28/12/2020,103.968,
1609228800,29/12/2020,103.982,
1609315200,30/12/2020,104.072,
1609401600,31/12/2020,104.173,
1609747200,04/01/2021,104.491,
1609833600,05/01/2021,104.476,
1609920000,06/01/2021,104.115,
1610006400,07/01/2021,103.936,
1610092800,08/01/2021,103.878,
1610352000,11/01/2021,103.75,
1610438400,12/01/2021,103.522,
1610524800,13/01/2021,103.577,
1610611200,14/01/2021,103.703,
1610697600,15/01/2021,103.613,
1610956800,18/01/2021,103.53,
1611043200,19/01/2021,103.504,
1611129600,20/01/2021,103.486,
1611216000,21/01/2021,103.574,
1611302400,22/01/2021,103.44,
1611561600,25/01/2021,103.439,
1611648000,26/01/2021,103.55,
1611734400,27/01/2021,103.396,
1611820800,28/01/2021,103.469,
1611907200,29/01/2021,103.549,
1612166400,01/02/2021,103.552,
1612252800,02/02/2021,103.743,
1612339200,03/02/2021,103.974,
1612425600,04/02/2021,103.904,
1612512000,05/02/2021,104.045,
1612771200,08/02/2021,103.973,
1612857600,09/02/2021,103.961,
1612944000,10/02/2021,103.906,
1613030400,11/02/2021,103.985,
1613116800,12/02/2021,103.975,
1613376000,15/02/2021,103.913,
1613462400,16/02/2021,103.851,
1613548800,17/02/2021,103.624,
1613635200,18/02/2021,103.571,
1613721600,19/02/2021,103.476,
1613980800,22/02/2021,102.849,
1614067200,23/02/2021,102.52,
1614153600,24/02/2021,102.676,
1614240000,25/02/2021,102.573,
1614326400,26/02/2021,102.033,
1614585600,01/03/2021,102.096,
1614672000,02/03/2021,101.96,
1614758400,03/03/2021,101.802,
1614844800,04/03/2021,101.771,
1614931200,05/03/2021,101.544,
1615190400,08/03/2021,101.199,
1615276800,09/03/2021,100.505,
1615363200,10/03/2021,100.463,
1615449600,11/03/2021,100.929,
1615536000,12/03/2021,100.896,
1615795200,15/03/2021,100.852,
1615881600,16/03/2021,101.013,
1615968000,17/03/2021,101.01,
1616054400,18/03/2021,101.336,
1616140800,19/03/2021,101.162,
1616400000,22/03/2021,101.255,
1616486400,23/03/2021,101.492,
1616572800,24/03/2021,101.423,
1616659200,25/03/2021,101.132,
1616745600,26/03/2021,101.254,
1617001200,29/03/2021,101.175,
1617087600,30/03/2021,101.075,
1617174000,31/03/2021,101.15,
1617260400,01/04/2021,101.462,
1617692400,06/04/2021,101.351,
1617778800,07/04/2021,101.537,
1617865200,08/04/2021,101.526,
1617951600,09/04/2021,101.582,
1618210800,12/04/2021,101.514,
1618297200,13/04/2021,101.437,
1618383600,14/04/2021,101.623,
1618470000,15/04/2021,101.686,
1618556400,16/04/2021,102.009,
1618815600,19/04/2021,102.113,
1618902000,20/04/2021,102.126,
1618988400,21/04/2021,102.089,
1619074800,22/04/2021,102.125,
1619161200,23/04/2021,102.173,
1619420400,26/04/2021,102.219,
1619506800,27/04/2021,102.212,
1619593200,28/04/2021,102.187,
1619679600,29/04/2021,102.306,
1619766000,30/04/2021,102.349,
1620025200,03/05/2021,102.394,
1620111600,04/05/2021,102.455,
1620198000,05/05/2021,102.503,
1620284400,06/05/2021,102.564,
1620370800,07/05/2021,102.953,
1620630000,10/05/2021,103.153,
1620716400,11/05/2021,103.207,
1620802800,12/05/2021,103.098,
1620889200,13/05/2021,102.839,
1620975600,14/05/2021,102.908,
1621234800,17/05/2021,102.982,
1621321200,18/05/2021,102.865,
1621407600,19/05/2021,102.805,
1621494000,20/05/2021,102.736,
1621580400,21/05/2021,102.819,
1621839600,24/05/2021,102.856,
1621926000,25/05/2021,102.861,
1622012400,26/05/2021,102.96,
1622098800,27/05/2021,103.052,
1622185200,28/05/2021,103.004,
1622444400,31/05/2021,103.143,
1622530800,01/06/2021,103.101,
1622617200,02/06/2021,103.204,
1622703600,03/06/2021,103.323,
1622790000,04/06/2021,103.158,
1623049200,07/06/2021,103.254,
1623135600,08/06/2021,103.282,
1623222000,09/06/2021,103.358,
1623308400,10/06/2021,103.407,
1623394800,11/06/2021,103.515,
1623654000,14/06/2021,103.421,
1623740400,15/06/2021,103.268,
1623826800,16/06/2021,103.252,
1623913200,17/06/2021,102.999,
1623999600,18/06/2021,103.181,
1624258800,21/06/2021,103.148,
1624345200,22/06/2021,103.15,
1624431600,23/06/2021,103.148,
1624518000,24/06/2021,103.146,
1624604400,25/06/2021,103.165,
1624863600,28/06/2021,103.182,
1624950000,29/06/2021,103.175,
1625036400,30/06/2021,103.266,
1625122800,01/07/2021,103.108,
1625209200,02/07/2021,102.961,
1625468400,05/07/2021,102.977,
1625554800,06/07/2021,102.972,
1625641200,07/07/2021,102.99,
1625727600,08/07/2021,102.965,
1625814000,09/07/2021,102.884,
1626073200,12/07/2021,102.903,
1626159600,13/07/2021,102.926,
1626246000,14/07/2021,102.902,
1626332400,15/07/2021,103.039,
1626418800,16/07/2021,103.046,
1626678000,19/07/2021,103.112,
1626764400,20/07/2021,103.18,
1626850800,21/07/2021,103.262,
1626937200,22/07/2021,103.21,
1627023600,23/07/2021,103.275,
1627282800,26/07/2021,103.29,
1627369200,27/07/2021,103.285,
1627455600,28/07/2021,103.304,
1627542000,29/07/2021,103.337,
1627628400,30/07/2021,103.412,
1627887600,02/08/2021,103.474,
1627974000,03/08/2021,103.564,
1628060400,04/08/2021,103.582,
1628146800,05/08/2021,103.546,
1628233200,06/08/2021,103.431,
1628492400,09/08/2021,103.354,
1628578800,10/08/2021,103.315,
1628665200,11/08/2021,103.311,
1628751600,12/08/2021,103.351,
1628838000,13/08/2021,103.383,
1629097200,16/08/2021,103.424,
1629183600,17/08/2021,103.398,
1629270000,18/08/2021,103.395,
1629356400,19/08/2021,103.289,
1629442800,20/08/2021,103.15,
1629702000,23/08/2021,103.128,
1629788400,24/08/2021,103.21,
1629874800,25/08/2021,103.23,
1629961200,26/08/2021,103.178,
1630047600,27/08/2021,103.218,
1630306800,30/08/2021,103.383,
1630393200,31/08/2021,103.468,
1630479600,01/09/2021,103.442,
1630566000,02/09/2021,103.5,
1630652400,03/09/2021,103.468,
1630911600,06/09/2021,103.505,
1630998000,07/09/2021,103.47,
1631084400,08/09/2021,103.29,
1631170800,09/09/2021,103.071,
1631257200,10/09/2021,103.125,
1631516400,13/09/2021,103.221,
1631602800,14/09/2021,103.236,
1631689200,15/09/2021,103.288,
1631775600,16/09/2021,103.205,
1631862000,17/09/2021,103.184,
1632121200,20/09/2021,103.098,
1632207600,21/09/2021,103.048,
1632294000,22/09/2021,103.078,
1632380400,23/09/2021,103.033,
1632466800,24/09/2021,102.889,
1632812400,28/09/2021,102.489,
1632898800,29/09/2021,102.435,
1633071600,01/10/2021,102.377,
1633330800,04/10/2021,102.366,
1633417200,05/10/2021,102.216,
1633503600,06/10/2021,102.14,
1633590000,07/10/2021,102.294,
1633676400,08/10/2021,102.251,
1633935600,11/10/2021,102.202,
1634022000,12/10/2021,102.146,
1634108400,13/10/2021,102.038,
1634194800,14/10/2021,102.1,
1634281200,15/10/2021,102.187,
1634540400,18/10/2021,102.094,
1634626800,19/10/2021,102.155,
1634713200,20/10/2021,101.969,
1634799600,21/10/2021,101.609,
1634886000,22/10/2021,101.07,
1635145200,25/10/2021,100.925,
1635231600,26/10/2021,101.05,
1635318000,27/10/2021,101.022,
1635404400,28/10/2021,100.893,
1635490800,29/10/2021,100.643,
1635753600,01/11/2021,100.084,
1635840000,02/11/2021,99.885002,
1635926400,03/11/2021,99.879997,
1636012800,04/11/2021,100.274,
1636099200,05/11/2021,100.412,
1636358400,08/11/2021,100.579,
1636444800,09/11/2021,100.639,
1636531200,10/11/2021,100.676,
1636617600,11/11/2021,100.573,
1636704000,12/11/2021,100.511,
1636963200,15/11/2021,100.521,
1637049600,16/11/2021,100.515,
1637136000,17/11/2021,100.439,
1637222400,18/11/2021,100.483,
1637308800,19/11/2021,100.51,
1637568000,22/11/2021,100.518,
1637654400,23/11/2021,100.189,
1637740800,24/11/2021,100.098,
1637827200,25/11/2021,100.069,
1637913600,26/11/2021,99.885002,
1638172800,29/11/2021,99.910004,
1638259200,30/11/2021,100.194,
1638345600,01/12/2021,100.384,
1638432000,02/12/2021,100.408,
1638518400,03/12/2021,100.66,
1638777600,06/12/2021,100.701,
1638864000,07/12/2021,100.824,
1638950400,08/12/2021,101.06,
1639036800,09/12/2021,101.043,
1639123200,10/12/2021,100.993,
1639382400,13/12/2021,100.938,
1639468800,14/12/2021,100.986,
1639555200,15/12/2021,100.99,
1639641600,16/12/2021,101.053,
1639728000,17/12/2021,101.195,
1639987200,20/12/2021,101.17,
1640073600,21/12/2021,101.286,
1640160000,22/12/2021,101.372,
1640246400,23/12/2021,101.465,
1640332800,24/12/2021,101.483,
1640592000,27/12/2021,101.41,
1640678400,28/12/2021,101.493,
1640764800,29/12/2021,101.626,
1640851200,30/12/2021,101.643,
1640937600,31/12/2021,101.652,
1641196800,03/01/2022,101.701,
1641283200,04/01/2022,101.438,
1641369600,05/01/2022,101.375,
1641456000,06/01/2022,100.896,
1641542400,07/01/2022,100.919,
1641801600,10/01/2022,100.68,
1641888000,11/01/2022,100.733,
1642060800,13/01/2022,100.802,
1642147200,14/01/2022,100.728,
1642406400,17/01/2022,100.665,
1642492800,18/01/2022,100.477,
1642579200,19/01/2022,100.425,
1642665600,20/01/2022,100.505,
1642752000,21/01/2022,100.567,
1643011200,24/01/2022,100.556,
1643097600,25/01/2022,100.552,
1643184000,26/01/2022,100.559,
1643270400,27/01/2022,100.325,
1643356800,28/01/2022,100.268,
1643616000,31/01/2022,100.29,
1643702400,01/02/2022,100.292,
1643788800,02/02/2022,100.421,
1643875200,03/02/2022,100.547,
1643961600,04/02/2022,100.367,
1644220800,07/02/2022,100.005,
1644307200,08/02/2022,99.996002,
1644393600,09/02/2022,100.055,
1644480000,10/02/2022,100.013,
1644566400,11/02/2022,99.449997,
1644825600,14/02/2022,99.181,
1644912000,15/02/2022,99.079002,
1644998400,16/02/2022,99.183998,
1645084800,17/02/2022,99.282997,
1645171200,18/02/2022,99.278999,
1645430400,21/02/2022,99.337997,
1645516800,22/02/2022,99.292,
1645603200,23/02/2022,99.171997,
1645689600,24/02/2022,98.700996,
1645776000,25/02/2022,99.157997,
1646035200,28/02/2022,99.235001,
1646121600,01/03/2022,99.740997,
1646208000,02/03/2022,99.714996,
1646294400,03/03/2022,99.541,
1646380800,04/03/2022,99.552002,
1646640000,07/03/2022,99.259003,
1646726400,08/03/2022,99.231003,
1646812800,09/03/2022,99.176003,
1646899200,10/03/2022,99.245003,
1646985600,11/03/2022,99.211998,
1647244800,14/03/2022,98.974998,
1647331200,15/03/2022,98.676003,
1647417600,16/03/2022,98.967003,
1647504000,17/03/2022,98.957001,
1647590400,18/03/2022,98.997002,
1647849600,21/03/2022,99.011002,
1647936000,22/03/2022,98.497002,
1648022400,23/03/2022,98.265999,
1648108800,24/03/2022,98.238998,
1648195200,25/03/2022,98.296997,
1648450800,28/03/2022,98.223,
1648537200,29/03/2022,98.024002,
1648623600,30/03/2022,98.188004,
1648710000,31/03/2022,98.255997,
1649055600,04/04/2022,98.008003,
1649142000,05/04/2022,97.980003,
1649228400,06/04/2022,97.535004,
1649314800,07/04/2022,97.525002,
1649401200,08/04/2022,97.388,
1649660400,11/04/2022,97.135002,
1649746800,12/04/2022,96.813004,
1649833200,13/04/2022,96.93,
1649919600,14/04/2022,97.219002,
1650351600,19/04/2022,96.934998,
1650438000,20/04/2022,96.851997,
1650524400,21/04/2022,96.899002,
1650610800,22/04/2022,96.598999,
1650870000,25/04/2022,96.403999,
1650956400,26/04/2022,96.697998,
1651042800,27/04/2022,96.557999,
1651129200,28/04/2022,96.455002,
1651215600,29/04/2022,96.100998,
1651474800,02/05/2022,95.892998,
1651561200,03/05/2022,95.730003,
1651647600,04/05/2022,95.758003,
